,date,0-4-high,5-18-high,19-49-high,50-64-high,65-high,0-4-low,5-18-low,19-49-low,50-64-low,65-low
0,2021-03-02,0,0.0,93057.16191043689,55530.3226087476,103763,0,0,0,0,1832.4922397312766
1,2021-03-03,0,2.134890734553564,97169.99041356119,57861.510643276015,103763,0,0,0,0,4606.351593636253
2,2021-03-04,0,4.269781469107128,101308.93699085554,60205.15540775993,103763,0,0,0,0,6979.570728071965
3,2021-03-05,0,6.404672203660692,105071.4760286409,62372.62642001613,103763,0,0,0,0,8908.768218000361
4,2021-03-06,0,8.539562938214257,109785.0202376754,64689.57819173826,103763,0,0,0,0,11333.024323069112
5,2021-03-07,0,10.67445367276782,114546.95970178964,67916.76101663696,103763,0,0,0,0,14391.414788253198
6,2021-03-08,0,12.809344407321383,119308.8991659039,71143.94384153566,103763,0,0,0,0,17449.8052534373
7,2021-03-09,0,14.944235141874948,125732.40905442189,74530.39485657962,103763,0,0,0,0,20665.13440331795
8,2021-03-10,0,17.079125876428513,132083.7101496464,77608.98668843777,103763,0,0,0,0,23811.56364284402
9,2021-03-11,0,19.214016610982075,138209.16672116547,80865.53180537441,103763,0,0,0,0,26728.326514521497
10,2021-03-12,0,21.34890734553564,138209.16672116547,80865.53180537441,103763,0,0,0,0,26728.326514521497
11,2021-03-13,0,23.483798080089205,156209.0,91882.61968458467,103763,0,0,855.8799146076199,0,37379.74228563407
12,2021-03-14,0,25.618688814642766,156209.0,95938.17505152381,103763,0,0,7959.996088850021,0,40115.32391156425
13,2021-03-15,0,27.75357954919633,156209.0,99077.27100030865,103763,0,0,13853.462707447237,0,42251.22113255641
14,2021-03-16,0,29.888470283749896,156209.0,102374.74537281337,103763,0,0,20542.7624095777,0,44729.06605678986
15,2021-03-17,0,32.02336101830346,156209.0,105924.91341012952,103763,0,0,27262.789257790573,0,47018.074189681036
16,2021-03-18,0,34.158251752857026,156209.0,108196.0,103763,0,0,33153.18316177957,917.836278736344,49003.41234730577
17,2021-03-19,0,36.293142487410584,156209.0,108196.0,103763,0,0,39504.48425700405,5195.388368810905,51166.74194001316
18,2021-03-20,0,38.42803322196415,156209.0,108196.0,103763,0,0,45855.78535222856,9472.94045888551,53330.071532720554
19,2021-03-21,0,40.56292395651772,156209.0,108196.0,103763,0,0,52207.08644745301,13750.492548960057,55493.401125427976
20,2021-03-22,0,42.69781469107128,156209.0,108196.0,103763,0,0,58558.38754267749,18028.044639034648,57656.73071813537
21,2021-03-23,0,44.832705425624845,156209.0,108196.0,103763,0,0,62862.49253016448,20876.186966716108,58669.81458520095
22,2021-03-24,0,46.96759616017841,156209.0,108196.0,103763,0,0,67166.5975176515,23724.329294397583,59682.89845226653
23,2021-03-25,0,49.102486894731975,156209.0,108196.0,103763,0,0,73355.04473863947,27480.92314240485,60895.02650480089
24,2021-03-26,0,51.23737762928553,156209.0,108196.0,103763,0,0,80926.21353333374,32198.464729836007,63362.66403490768
25,2021-03-27,0,53.3722683638391,156209.0,108196.0,103763,0,0,84727.16150372202,33926.3911279483,64268.570263643924
26,2021-03-28,0,55.50715909839266,156209.0,108196.0,103763,0,0,84727.16150372202,33926.3911279483,64268.570263643924
27,2021-03-29,0,57.64204983294622,156209.0,108196.0,103763,0,0,93316.16701239461,38982.043957028654,66392.98416624361
28,2021-03-30,0,59.77694056749979,156209.0,108196.0,103763,0,0,101905.17252106717,44037.69678610898,68517.39806884335
29,2021-03-31,0,61.91183130205336,156209.0,108196.0,103763,0,0,106869.14297067293,46068.1437688547,69418.20060051628
30,2021-04-01,0,64.04672203660692,156209.0,108196.0,103763,0,0,118367.24103469326,49515.09890082537,70676.26192662038
31,2021-04-02,0,66.18161277116047,156209.0,108196.0,103763,0,0,128599.38068012026,52072.2876074035,71643.41252011622
32,2021-04-03,0,68.31650350571405,156209.0,108196.0,103763,0,0,137183.00893822836,54394.57797767801,72758.57032844785
33,2021-04-04,0,70.4513942402676,156209.0,108196.0,103763,0,0,137183.00893822836,54394.57797767801,72758.57032844785
34,2021-04-05,0,72.58628497482117,156209.0,108196.0,103763,0,0,151526.44072947546,58345.1409064208,77015.05367924224
